bus,sym_gen_type,sym_gen_dynamic_para
32,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
33,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
39,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
51,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
124,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
150,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
179,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
194,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
201,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
221,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
299,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
338,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
352,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
389,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
413,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
440,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
442,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
453,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
489,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
516,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
564,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
583,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
615,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
616,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
618,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
628,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
639,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
642,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
682,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
686,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
698,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
709,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
739,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
749,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
751,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
757,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
776,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
778,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
780,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
795,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
803,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
807,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
823,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
849,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
851,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
858,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
891,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
913,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
916,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
930,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
972,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
976,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1001,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1002,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1021,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1030,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1036,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1043,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
