idx,branch_type
1,Transformer
2,PiModelLine
3,Transformer
4,Transformer
5,Transformer
6,Transformer
7,Transformer
8,Transformer
9,Transformer
10,PiModelLine
11,PiModelLine
12,PiModelLine
13,PiModelLine
14,PiModelLine
15,PiModelLine
16,PiModelLine
17,Transformer
18,Transformer
19,Transformer
20,Transformer
21,Transformer
22,Transformer
23,PiModelLine
24,Transformer
25,Transformer
26,Transformer
27,PiModelLine
28,PiModelLine
29,Transformer
30,Transformer
31,Transformer
32,Transformer
33,Transformer
34,Transformer
35,Transformer
36,Transformer
37,PiModelLine
38,Transformer
39,PiModelLine
40,PiModelLine
41,PiModelLine
42,PiModelLine
43,PiModelLine
44,PiModelLine
45,PiModelLine
46,PiModelLine
47,PiModelLine
48,PiModelLine
49,PiModelLine
50,PiModelLine
51,PiModelLine
52,PiModelLine
53,PiModelLine
54,PiModelLine
55,PiModelLine
56,PiModelLine
57,PiModelLine
58,PiModelLine
59,PiModelLine
60,PiModelLine
61,PiModelLine
62,PiModelLine
63,PiModelLine
64,PiModelLine
65,PiModelLine
66,PiModelLine
67,PiModelLine
68,PiModelLine
69,PiModelLine
70,PiModelLine
71,PiModelLine
72,PiModelLine
73,PiModelLine
74,PiModelLine
75,PiModelLine
76,PiModelLine
77,PiModelLine
78,PiModelLine
79,PiModelLine
80,PiModelLine
81,PiModelLine
82,PiModelLine
83,PiModelLine
84,PiModelLine
85,PiModelLine
86,PiModelLine
87,PiModelLine
88,PiModelLine
89,PiModelLine
90,PiModelLine
91,PiModelLine
92,PiModelLine
93,PiModelLine
94,PiModelLine
95,PiModelLine
96,PiModelLine
97,PiModelLine
98,PiModelLine
99,PiModelLine
100,PiModelLine
101,PiModelLine
102,PiModelLine
103,PiModelLine
104,PiModelLine
105,PiModelLine
106,PiModelLine
107,PiModelLine
108,PiModelLine
109,PiModelLine
110,PiModelLine
111,PiModelLine
112,PiModelLine
113,PiModelLine
114,PiModelLine
115,PiModelLine
116,PiModelLine
117,PiModelLine
118,PiModelLine
119,PiModelLine
120,PiModelLine
121,PiModelLine
122,PiModelLine
123,PiModelLine
124,PiModelLine
125,PiModelLine
126,PiModelLine
127,PiModelLine
128,PiModelLine
129,PiModelLine
130,PiModelLine
131,PiModelLine
132,PiModelLine
133,PiModelLine
134,PiModelLine
135,PiModelLine
136,PiModelLine
137,PiModelLine
138,PiModelLine
139,PiModelLine
140,PiModelLine
141,PiModelLine
142,PiModelLine
143,PiModelLine
144,PiModelLine
145,PiModelLine
146,PiModelLine
147,PiModelLine
148,PiModelLine
149,PiModelLine
150,PiModelLine
151,PiModelLine
152,PiModelLine
153,PiModelLine
154,PiModelLine
155,PiModelLine
156,PiModelLine
157,PiModelLine
158,PiModelLine
159,PiModelLine
160,PiModelLine
161,PiModelLine
162,PiModelLine
163,PiModelLine
164,PiModelLine
165,PiModelLine
166,PiModelLine
167,PiModelLine
168,PiModelLine
169,PiModelLine
170,PiModelLine
171,PiModelLine
172,PiModelLine
173,PiModelLine
174,PiModelLine
175,PiModelLine
176,PiModelLine
177,PiModelLine
178,PiModelLine
179,PiModelLine
180,PiModelLine
181,PiModelLine
182,PiModelLine
183,PiModelLine
184,PiModelLine
185,PiModelLine
186,PiModelLine
187,PiModelLine
188,PiModelLine
189,PiModelLine
190,PiModelLine
191,PiModelLine
192,PiModelLine
193,PiModelLine
194,PiModelLine
195,PiModelLine
196,PiModelLine
197,PiModelLine
198,PiModelLine
199,PiModelLine
200,PiModelLine
201,PiModelLine
202,PiModelLine
203,PiModelLine
204,PiModelLine
205,PiModelLine
206,PiModelLine
207,PiModelLine
208,PiModelLine
209,PiModelLine
210,PiModelLine
211,PiModelLine
212,PiModelLine
213,PiModelLine
214,PiModelLine
215,PiModelLine
216,PiModelLine
217,PiModelLine
218,PiModelLine
219,PiModelLine
220,PiModelLine
221,PiModelLine
222,PiModelLine
223,PiModelLine
224,PiModelLine
225,PiModelLine
226,PiModelLine
227,PiModelLine
228,PiModelLine
229,PiModelLine
230,PiModelLine
231,PiModelLine
232,PiModelLine
233,PiModelLine
234,PiModelLine
235,PiModelLine
236,PiModelLine
237,PiModelLine
238,PiModelLine
239,PiModelLine
240,PiModelLine
241,PiModelLine
242,PiModelLine
243,PiModelLine
244,PiModelLine
245,PiModelLine
246,PiModelLine
247,PiModelLine
248,PiModelLine
249,PiModelLine
250,PiModelLine
251,PiModelLine
252,PiModelLine
253,PiModelLine
254,PiModelLine
255,PiModelLine
256,PiModelLine
257,PiModelLine
258,PiModelLine
259,PiModelLine
260,PiModelLine
261,PiModelLine
262,PiModelLine
263,PiModelLine
264,PiModelLine
265,PiModelLine
266,PiModelLine
267,PiModelLine
268,PiModelLine
269,PiModelLine
270,PiModelLine
271,PiModelLine
272,PiModelLine
273,PiModelLine
274,PiModelLine
275,PiModelLine
276,PiModelLine
277,PiModelLine
278,PiModelLine
279,PiModelLine
280,PiModelLine
281,PiModelLine
282,PiModelLine
283,PiModelLine
284,PiModelLine
285,PiModelLine
286,PiModelLine
287,PiModelLine
288,PiModelLine
289,PiModelLine
290,PiModelLine
291,PiModelLine
292,PiModelLine
293,Transformer
294,PiModelLine
295,PiModelLine
296,PiModelLine
297,PiModelLine
298,PiModelLine
299,PiModelLine
300,PiModelLine
301,PiModelLine
302,PiModelLine
303,PiModelLine
304,PiModelLine
305,PiModelLine
306,Transformer
307,PiModelLine
308,PiModelLine
309,PiModelLine
310,PiModelLine
311,Transformer
312,PiModelLine
313,PiModelLine
314,PiModelLine
315,PiModelLine
316,PiModelLine
317,PiModelLine
318,PiModelLine
319,PiModelLine
320,PiModelLine
321,PiModelLine
322,Transformer
323,PiModelLine
324,PiModelLine
325,PiModelLine
326,PiModelLine
327,PiModelLine
328,PiModelLine
329,PiModelLine
330,PiModelLine
331,PiModelLine
332,PiModelLine
333,PiModelLine
334,PiModelLine
335,Transformer
336,Transformer
337,Transformer
338,Transformer
339,Transformer
340,Transformer
341,Transformer
342,Transformer
343,Transformer
344,Transformer
345,Transformer
346,Transformer
347,Transformer
348,Transformer
349,Transformer
350,Transformer
351,Transformer
352,Transformer
353,Transformer
354,Transformer
355,Transformer
356,Transformer
357,Transformer
358,Transformer
359,Transformer
360,Transformer
361,Transformer
362,Transformer
363,Transformer
364,Transformer
365,Transformer
366,Transformer
367,Transformer
368,Transformer
369,Transformer
370,Transformer
371,Transformer
372,Transformer
373,Transformer
374,Transformer
375,Transformer
376,Transformer
377,Transformer
378,Transformer
379,Transformer
380,Transformer
381,Transformer
382,Transformer
383,Transformer
384,Transformer
385,Transformer
386,Transformer
387,Transformer
388,Transformer
389,Transformer
390,Transformer
391,Transformer
392,Transformer
393,Transformer
394,Transformer
395,Transformer
396,Transformer
397,Transformer
398,Transformer
399,Transformer
400,Transformer
401,Transformer
402,Transformer
403,Transformer
404,Transformer
405,Transformer
406,Transformer
407,Transformer
408,Transformer
409,Transformer
410,Transformer
411,Transformer
