bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
8,0.0,0,10.0,-10.0,1.0153,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0,0,20.0,-20.0,1.0205,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,0,20.0,-20.0,1.001,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.0,0,25.0,-25.0,0.9583,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.0,0,35.0,12.0,0.9632,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
84,375.0,0,240.0,-240.0,1.025,100,1,475.0,0,0,0,0,0,0,0,0,0,0,0,0
91,155.0,0,96.0,-11.0,1.052,100,1,255.0,0,0,0,0,0,0,0,0,0,0,0,0
92,290.0,0,153.0,-153.0,1.052,100,1,390.0,0,0,0,0,0,0,0,0,0,0,0,0
98,68.0,0,56.0,-30.0,1.0,100,1,168.0,0,0,0,0,0,0,0,0,0,0,0,0
108,117.0,0,77.0,-24.0,0.99,100,1,217.0,0,0,0,0,0,0,0,0,0,0,0,0
119,1930.0,0,1500.0,-500.0,1.0435,100,1,2030.0,0,0,0,0,0,0,0,0,0,0,0,0
124,240.0,0,120.0,-60.0,1.0233,100,1,340.0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.0,0,200.0,-25.0,1.0103,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
138,0.0,0,350.0,-125.0,1.055,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
141,281.0,0,75.0,-50.0,1.051,100,1,381.0,0,0,0,0,0,0,0,0,0,0,0,0
143,696.0,0,300.0,-100.0,1.0435,100,1,796.0,0,0,0,0,0,0,0,0,0,0,0,0
146,84.0,0,35.0,-15.0,1.0528,100,1,184.0,0,0,0,0,0,0,0,0,0,0,0,0
147,217.0,0,100.0,-50.0,1.0528,100,1,317.0,0,0,0,0,0,0,0,0,0,0,0,0
149,103.0,0,50.0,-25.0,1.0735,100,1,203.0,0,0,0,0,0,0,0,0,0,0,0,0
152,372.0,0,175.0,-50.0,1.0535,100,1,472.0,0,0,0,0,0,0,0,0,0,0,0,0
153,216.0,0,90.0,-50.0,1.0435,100,1,316.0,0,0,0,0,0,0,0,0,0,0,0,0
156,0.0,0,15.0,-10.0,0.963,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
170,205.0,0,90.0,-40.0,0.929,100,1,305.0,0,0,0,0,0,0,0,0,0,0,0,0
171,0.0,0,150.0,-50.0,0.9829,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
176,228.0,0,90.0,-45.0,1.0522,100,1,328.0,0,0,0,0,0,0,0,0,0,0,0,0
177,84.0,0,35.0,-15.0,1.0077,100,1,184.0,0,0,0,0,0,0,0,0,0,0,0,0
185,200.0,0,80.0,-50.0,1.0522,100,1,300.0,0,0,0,0,0,0,0,0,0,0,0,0
186,1200.0,0,400.0,-100.0,1.065,100,1,1300.0,0,0,0,0,0,0,0,0,0,0,0,0
187,1200.0,0,400.0,-100.0,1.065,100,1,1300.0,0,0,0,0,0,0,0,0,0,0,0,0
