timestamp,bus1_δ,bus1_ω,bus1_ed_dash,bus1_eq_dash,bus1_vm,bus1_vr1,bus1_vr2,bus1_vf_tilade,bus1_xg1,bus1_xg2,bus2_δ,bus2_ω,bus2_ed_dash,bus2_eq_dash,bus2_vm,bus2_vr1,bus2_vr2,bus2_vf_tilade,bus2_xg1,bus2_xg2,bus3_δ,bus3_ω,bus3_ed_dash,bus3_eq_dash,bus3_vm,bus3_vr1,bus3_vr2,bus3_vf_tilade,bus6_δ,bus6_ω,bus6_ed_dash,bus6_eq_dash,bus6_vm,bus6_vr1,bus6_vr2,bus6_vf_tilade,bus8_δ,bus8_ω,bus8_ed_dash,bus8_eq_dash,bus8_vm,bus8_vr1,bus8_vr2,bus8_vf_tilade,bus1_vh,bus2_vh,bus3_vh,bus4_vh,bus5_vh,bus6_vh,bus7_vh,bus8_vh,bus9_vh,bus10_vh,bus11_vh,bus12_vh,bus13_vh,bus14_vh,bus1_θh,bus2_θh,bus3_θh,bus4_θh,bus5_θh,bus6_θh,bus7_θh,bus8_θh,bus9_θh,bus10_θh,bus11_θh,bus12_θh,bus13_θh,bus14_θh,bus1_id,bus2_id,bus3_id,bus6_id,bus8_id,bus1_iq,bus2_iq,bus3_iq,bus6_iq,bus8_iq
0.0,1.353913,376.991118,0.753023,0.773158,1.06,27.155338,0.440222,3.861599,2.324537,1.627176,0.263553,376.991118,0.261012,1.116711,1.045,2.197158,0.214666,1.883033,0.40004,0.280028,-0.222117,376.991118,7.0e-6,1.074203,1.01,1.545088,0.163937,1.438044,-0.248214,376.991118,2.0e-6,1.100768,1.07,1.345774,0.145365,1.275135,-0.233184,376.991118,3.0e-6,1.131811,1.09,1.458615,0.156038,1.368758,1.06,1.045,1.01,1.017671,1.019514,1.07,1.06152,1.09,1.055932,1.050985,1.056907,1.055189,1.050382,1.03553,0.0,-0.086963,-0.222095,-0.179994,-0.153133,-0.248202,-0.233169,-0.233169,-0.260726,-0.263497,-0.258145,-0.263119,-0.264527,-0.27984,2.107432,0.522908,0.248271,0.118981,0.161683,0.624242,0.216374,5.0e-6,1.0e-6,2.0e-6
0.01,1.353913,376.991118,0.753023,0.773158,1.06,27.155338,0.440222,3.861599,2.324537,1.627176,0.263553,376.991118,0.261012,1.116711,1.045,2.197158,0.214666,1.883033,0.40004,0.280028,-0.222117,376.991114,7.0e-6,1.074203,1.01,1.545088,0.163937,1.438044,-0.248214,376.991117,2.0e-6,1.100768,1.07,1.345774,0.145365,1.275135,-0.233184,376.991117,3.0e-6,1.131811,1.09,1.458615,0.156038,1.368758,1.06,1.045,1.01,1.017671,1.019514,1.07,1.06152,1.09,1.055932,1.050985,1.056907,1.055189,1.050382,1.03553,-0.0,-0.086963,-0.222095,-0.179994,-0.153133,-0.248202,-0.233169,-0.233169,-0.260726,-0.263497,-0.258145,-0.263119,-0.264527,-0.27984,2.107432,0.522908,0.248271,0.118981,0.161683,0.624242,0.216374,5.0e-6,1.0e-6,2.0e-6
0.02,1.353913,376.991118,0.753023,0.773158,1.06,27.155338,0.440222,3.861599,2.324537,1.627176,0.263553,376.991118,0.261012,1.116711,1.045,2.197158,0.214666,1.883033,0.40004,0.280028,-0.222117,376.99111,7.0e-6,1.074203,1.01,1.545088,0.163937,1.438044,-0.248214,376.991116,2.0e-6,1.100768,1.07,1.345774,0.145365,1.275135,-0.233184,376.991115,3.0e-6,1.131811,1.09,1.458615,0.156038,1.368758,1.06,1.045,1.01,1.017671,1.019514,1.07,1.06152,1.09,1.055932,1.050985,1.056907,1.055189,1.050382,1.03553,-0.0,-0.086963,-0.222095,-0.179994,-0.153133,-0.248202,-0.23317,-0.23317,-0.260726,-0.263497,-0.258145,-0.263119,-0.264527,-0.27984,2.107432,0.522909,0.248271,0.118981,0.161683,0.624242,0.216374,5.0e-6,1.0e-6,2.0e-6
0.04,1.353913,376.991118,0.753023,0.773158,1.06,27.155338,0.440222,3.861599,2.324537,1.627175,0.263553,376.991118,0.261012,1.116711,1.045,2.197158,0.214666,1.883033,0.40004,0.280027,-0.222117,376.991102,7.0e-6,1.074203,1.01,1.545088,0.163937,1.438044,-0.248214,376.991114,2.0e-6,1.100768,1.07,1.345774,0.145365,1.275135,-0.233185,376.991111,3.0e-6,1.131811,1.09,1.458615,0.156038,1.368758,1.06,1.045,1.01,1.017671,1.019514,1.07,1.06152,1.09,1.055932,1.050985,1.056907,1.055189,1.050382,1.03553,-0.0,-0.086963,-0.222095,-0.179994,-0.153133,-0.248202,-0.23317,-0.23317,-0.260727,-0.263498,-0.258145,-0.263119,-0.264527,-0.27984,2.107432,0.522909,0.248271,0.118981,0.161683,0.624242,0.216374,5.0e-6,1.0e-6,2.0e-6
0.08,1.353912,376.991103,0.753023,0.773158,1.06,27.155339,0.440222,3.861599,2.324537,1.627165,0.263553,376.991103,0.261012,1.116711,1.045,2.197159,0.214666,1.883033,0.40004,0.280017,-0.222118,376.991087,6.0e-6,1.074203,1.01,1.545088,0.163937,1.438044,-0.248214,376.99111,2.0e-6,1.100768,1.07,1.345775,0.145365,1.275135,-0.233185,376.991104,3.0e-6,1.131811,1.09,1.458615,0.156038,1.368758,1.06,1.045,1.01,1.017671,1.019514,1.07,1.061519,1.09,1.055932,1.050985,1.056906,1.055189,1.050382,1.03553,-1.0e-6,-0.086963,-0.222096,-0.179995,-0.153133,-0.248203,-0.23317,-0.23317,-0.260727,-0.263498,-0.258146,-0.263119,-0.264527,-0.27984,2.107432,0.522909,0.248271,0.118981,0.161683,0.624242,0.216374,4.0e-6,2.0e-6,2.0e-6
0.16,1.353914,376.991149,0.753023,0.773158,1.06,27.15534,0.440222,3.861599,2.324536,1.627197,0.263554,376.991149,0.261012,1.116711,1.045,2.19716,0.214666,1.883033,0.40004,0.280049,-0.222121,376.991071,6.0e-6,1.074203,1.009999,1.54509,0.163937,1.438044,-0.248215,376.991103,2.0e-6,1.100768,1.07,1.345776,0.145365,1.275135,-0.233186,376.991094,3.0e-6,1.131811,1.09,1.458616,0.156038,1.368758,1.059999,1.045,1.009999,1.01767,1.019513,1.07,1.061519,1.09,1.055931,1.050984,1.056906,1.055188,1.050381,1.03553,-0.0,-0.086963,-0.222096,-0.179995,-0.153133,-0.248203,-0.233171,-0.233171,-0.260727,-0.263498,-0.258146,-0.26312,-0.264528,-0.279841,2.107437,0.522912,0.248273,0.118982,0.161684,0.624242,0.216377,0.0,1.0e-6,1.0e-6
0.24,1.353914,376.991107,0.753023,0.773158,1.059999,27.155342,0.440222,3.861599,2.324537,1.627166,0.263554,376.991106,0.261013,1.11671,1.044999,2.197162,0.214666,1.883033,0.40004,0.280017,-0.222125,376.991075,5.0e-6,1.074203,1.009999,1.545092,0.163937,1.438044,-0.248217,376.991099,2.0e-6,1.100768,1.069999,1.345777,0.145365,1.275135,-0.233189,376.991091,2.0e-6,1.131811,1.09,1.458617,0.156038,1.368758,1.059999,1.044999,1.009999,1.01767,1.019513,1.069999,1.061519,1.09,1.055931,1.050984,1.056906,1.055188,1.050381,1.035529,-1.0e-6,-0.086964,-0.222098,-0.179996,-0.153135,-0.248205,-0.233172,-0.233172,-0.260729,-0.2635,-0.258148,-0.263121,-0.264529,-0.279842,2.10744,0.522914,0.248274,0.118983,0.161684,0.624242,0.216377,-2.0e-6,1.0e-6,0.0
0.32,1.353917,376.991171,0.753023,0.773158,1.059998,27.155346,0.440222,3.8616,2.324536,1.62721,0.263557,376.99117,0.261014,1.11671,1.044999,2.197165,0.214666,1.883034,0.40004,0.280062,-0.222127,376.991092,3.0e-6,1.074203,1.009998,1.545095,0.163937,1.438045,-0.248218,376.991104,1.0e-6,1.100768,1.069999,1.345779,0.145365,1.275135,-0.23319,376.991098,2.0e-6,1.131811,1.089999,1.458618,0.156038,1.368758,1.059998,1.044999,1.009998,1.017669,1.019512,1.069999,1.061518,1.089999,1.05593,1.050983,1.056905,1.055187,1.050381,1.035529,0.0,-0.086963,-0.222097,-0.179996,-0.153134,-0.248205,-0.233172,-0.233173,-0.260729,-0.2635,-0.258147,-0.263121,-0.264529,-0.279842,2.107447,0.522918,0.248276,0.118984,0.161686,0.624241,0.21638,-4.0e-6,-1.0e-6,-2.0e-6
0.4,1.353918,376.991109,0.753023,0.773157,1.059998,27.155349,0.440222,3.8616,2.324536,1.627163,0.263557,376.991106,0.261014,1.11671,1.044998,2.197167,0.214666,1.883034,0.40004,0.280013,-0.222128,376.991107,2.0e-6,1.074202,1.009998,1.545097,0.163937,1.438045,-0.248219,376.99111,1.0e-6,1.100768,1.069999,1.345781,0.145365,1.275136,-0.233191,376.991107,1.0e-6,1.131811,1.089999,1.458619,0.156038,1.368759,1.059998,1.044998,1.009998,1.017669,1.019512,1.069999,1.061518,1.089999,1.05593,1.050983,1.056905,1.055187,1.05038,1.035528,-0.0,-0.086963,-0.222098,-0.179996,-0.153134,-0.248205,-0.233172,-0.233173,-0.260729,-0.2635,-0.258148,-0.263121,-0.26453,-0.279843,2.107448,0.522919,0.248276,0.118985,0.161686,0.624241,0.216379,-3.0e-6,-1.0e-6,-2.0e-6
0.48,1.353921,376.991168,0.753023,0.773156,1.059997,27.155352,0.440222,3.8616,2.324536,1.627203,0.263561,376.991166,0.261015,1.11671,1.044998,2.19717,0.214666,1.883035,0.400039,0.280054,-0.222127,376.991126,1.0e-6,1.074202,1.009998,1.545099,0.163937,1.438046,-0.248218,376.991124,0.0,1.100768,1.069998,1.345783,0.145365,1.275137,-0.233191,376.991122,1.0e-6,1.131811,1.089999,1.458621,0.156038,1.368759,1.059997,1.044998,1.009998,1.017668,1.019511,1.069998,1.061518,1.089999,1.05593,1.050983,1.056905,1.055187,1.05038,1.035528,2.0e-6,-0.086961,-0.222096,-0.179994,-0.153132,-0.248203,-0.233171,-0.233172,-0.260727,-0.263498,-0.258146,-0.26312,-0.264528,-0.279841,2.107452,0.522921,0.248278,0.118986,0.161687,0.624241,0.21638,-4.0e-6,-3.0e-6,-3.0e-6
