idx,parameters
1,t
2,ω_ref_gen1
3,ω_ref_gen2
4,ω_ref_gen3
5,ω_ref_gen6
6,ω_ref_gen8
7,v_ref_gen1
8,v_ref_gen2
9,v_ref_gen3
10,v_ref_gen6
11,v_ref_gen8
12,p_order_gen1
13,p_order_gen2
14,p_order_gen3
15,p_order_gen6
16,p_order_gen8
17,P_load_node4
18,P_load_node5
19,P_load_node7
20,P_load_node9
21,P_load_node10
22,P_load_node11
23,P_load_node12
24,P_load_node13
25,P_load_node14
26,Q_load_node4
27,Q_load_node5
28,Q_load_node7
29,Q_load_node9
30,Q_load_node10
31,Q_load_node11
32,Q_load_node12
33,Q_load_node13
34,Q_load_node14
35,Pg_load_node2
36,Pg_load_node3
37,Pg_load_node6
38,Qg_load_node2
39,Qg_load_node3
40,Qg_load_node6
