idx,states
1,t
2,bus1_δ
3,bus1_ω
4,bus1_ed_dash
5,bus1_eq_dash
6,bus1_vm
7,bus1_vr1
8,bus1_vr2
9,bus1_vf_tilade
10,bus1_xg1
11,bus1_xg2
12,bus2_δ
13,bus2_ω
14,bus2_ed_dash
15,bus2_eq_dash
16,bus2_vm
17,bus2_vr1
18,bus2_vr2
19,bus2_vf_tilade
20,bus2_xg1
21,bus2_xg2
22,bus3_δ
23,bus3_ω
24,bus3_ed_dash
25,bus3_eq_dash
26,bus3_vm
27,bus3_vr1
28,bus3_vr2
29,bus3_vf_tilade
30,bus3_xg1
31,bus3_xg2
32,bus1_vh
33,bus2_vh
34,bus3_vh
35,bus4_vh
36,bus5_vh
37,bus6_vh
38,bus7_vh
39,bus8_vh
40,bus9_vh
41,bus1_θh
42,bus2_θh
43,bus3_θh
44,bus4_θh
45,bus5_θh
46,bus6_θh
47,bus7_θh
48,bus8_θh
49,bus9_θh
50,bus1_id
51,bus2_id
52,bus3_id
53,bus1_iq
54,bus2_iq
55,bus3_iq
